case_id,track,prediction_id,t_hat,gt_start_ms,detection_delay_seconds,root_service,fault_type,ada_rca_top1,ada_rca_labelled_rank
gaia-v3-11152,classification,test-pred-000032,1626969900000,1626969870644,29.356,mobservice2,login_failure,mobservice2,1
gaia-v3-11153,classification,test-pred-000033,1626970080000,1626970064326,15.674,mobservice2,login_failure,mobservice2,1
gaia-v3-11452,classification,test-pred-000036,1626970560000,1626970544305,15.695,mobservice1,login_failure,mobservice2,2
gaia-v3-11157,classification,test-pred-000037,1626970710000,1626970671820,38.18,mobservice2,login_failure,mobservice1,5
gaia-v3-11158,classification,test-pred-000040,1626971010000,1626970992177,17.823,mobservice2,login_failure,mobservice1,2
gaia-v3-11159,classification,test-pred-000042,1626971310000,1626971282364,27.636,mobservice2,login_failure,mobservice2,1
gaia-v3-11459,classification,test-pred-000044,1626971700000,1626971660625,39.375,mobservice1,login_failure,mobservice2,2
gaia-v3-11161,classification,test-pred-000045,1626971790000,1626971778746,11.254,mobservice2,login_failure,mobservice2,1
gaia-v3-11162,classification,test-pred-000047,1626972690000,1626972676140,13.86,mobservice2,login_failure,mobservice2,1
gaia-v3-11167,classification,test-pred-000052,1626974400000,1626974373589,26.411,mobservice2,login_failure,mobservice1,2
gaia-v3-11169,classification,test-pred-000055,1626974970000,1626974951969,18.031,mobservice2,login_failure,mobservice2,1
gaia-v3-11170,classification,test-pred-000056,1626975060000,1626975046758,13.242,mobservice2,login_failure,mobservice2,1
gaia-v3-11477,classification,test-pred-000058,1626975450000,1626975436226,13.774,mobservice1,login_failure,mobservice2,3
gaia-v3-11172,classification,test-pred-000061,1626976590000,1626976563629,26.371,mobservice2,login_failure,mobservice1,2
gaia-v3-11481,classification,test-pred-000062,1626976800000,1626976786321,13.679,mobservice1,login_failure,mobservice2,2
gaia-v3-11173,classification,test-pred-000065,1626977220000,1626977190130,29.87,mobservice2,login_failure,mobservice1,2
gaia-v3-11174,classification,test-pred-000066,1626977280000,1626977239939,40.061,mobservice2,login_failure,mobservice1,2
gaia-v3-11175,classification,test-pred-000067,1626977520000,1626977485462,34.538,mobservice2,login_failure,mobservice1,2
gaia-v3-11176,classification,test-pred-000068,1626978090000,1626978078085,11.915,mobservice2,login_failure,mobservice1,3
gaia-v3-11177,classification,test-pred-000069,1626978360000,1626978355718,4.282,mobservice2,login_failure,mobservice2,1
gaia-v3-11178,classification,test-pred-000070,1626978510000,1626978474213,35.787,mobservice2,login_failure,mobservice2,1
gaia-v3-11488,classification,test-pred-000074,1626979350000,1626979345279,4.721,mobservice1,login_failure,mobservice1,1
gaia-v3-11180,classification,test-pred-000076,1626979560000,1626979529035,30.965,mobservice2,login_failure,mobservice1,2
gaia-v3-11182,classification,test-pred-000077,1626979920000,1626979918783,1.217,mobservice2,login_failure,mobservice2,1
gaia-v3-11183,classification,test-pred-000078,1626980340000,1626980300317,39.683,mobservice2,login_failure,mobservice1,2
gaia-v3-11490,classification,test-pred-000079,1626980400000,1626980372186,27.814,mobservice1,login_failure,mobservice2,2
gaia-v3-11184,classification,test-pred-000080,1626980490000,1626980460727,29.273,mobservice2,login_failure,mobservice1,2
gaia-v3-11185,classification,test-pred-000084,1626980970000,1626980935734,34.266,mobservice2,login_failure,mobservice2,1
gaia-v3-11186,classification,test-pred-000085,1626981120000,1626981087394,32.606,mobservice2,login_failure,mobservice1,3
gaia-v3-11187,classification,test-pred-000087,1626981390000,1626981367958,22.042,mobservice2,login_failure,mobservice2,1
gaia-v3-11188,classification,test-pred-000089,1626981930000,1626981911868,18.132,mobservice2,login_failure,mobservice1,2
gaia-v3-11189,classification,test-pred-000090,1626982020000,1626981988636,31.364,mobservice2,login_failure,mobservice1,2
gaia-v3-11498,classification,test-pred-000091,1626982500000,1626982497725,2.275,mobservice1,login_failure,mobservice1,1
gaia-v3-11195,classification,test-pred-000094,1626983610000,1626983581923,28.077,mobservice2,login_failure,mobservice2,1
gaia-v3-11196,classification,test-pred-000096,1626983970000,1626983934015,35.985,mobservice2,login_failure,mobservice1,2
gaia-v3-11508,classification,test-pred-000099,1626984390000,1626984382583,7.417,mobservice1,login_failure,mobservice1,1
gaia-v3-11198,classification,test-pred-000100,1626984780000,1626984750363,29.637,mobservice2,login_failure,mobservice1,2
gaia-v3-11510,classification,test-pred-000102,1626985230000,1626985229789,0.211,mobservice1,login_failure,mobservice1,1
gaia-v3-11201,classification,test-pred-000103,1626985590000,1626985576454,13.546,mobservice2,login_failure,mobservice1,2
gaia-v3-11202,classification,test-pred-000106,1626985830000,1626985792277,37.723,mobservice2,login_failure,mobservice1,2
gaia-v3-11203,classification,test-pred-000108,1626986010000,1626985997185,12.815,mobservice2,login_failure,mobservice2,1
gaia-v3-11514,classification,test-pred-000109,1626986100000,1626986089071,10.929,mobservice1,login_failure,mobservice1,1
gaia-v3-11515,classification,test-pred-000110,1626986310000,1626986269661,40.339,mobservice1,login_failure,mobservice1,1
gaia-v3-11205,classification,test-pred-000111,1626986490000,1626986470623,19.377,mobservice2,login_failure,mobservice2,1
gaia-v3-11206,classification,test-pred-000112,1626986610000,1626986594798,15.202,mobservice2,login_failure,mobservice2,1
gaia-v3-11753,classification,test-pred-000113,1626986820000,1626986816669,3.331,redisservice2,memory_anomalies,mobservice2,3
gaia-v3-11209,classification,test-pred-000114,1626988140000,1626988111791,28.209,mobservice2,login_failure,mobservice1,2
gaia-v3-11521,classification,test-pred-000117,1626988560000,1626988541133,18.867,mobservice1,login_failure,mobservice1,1
gaia-v3-11212,classification,test-pred-000118,1626988620000,1626988600113,19.887,mobservice2,login_failure,mobservice1,2
gaia-v3-11523,classification,test-pred-000119,1626988740000,1626988701427,38.573,mobservice1,login_failure,mobservice2,2
gaia-v3-11524,classification,test-pred-000120,1626988950000,1626988922544,27.456,mobservice1,login_failure,mobservice1,1
gaia-v3-11213,classification,test-pred-000123,1626989550000,1626989510582,39.418,mobservice2,login_failure,mobservice2,1
gaia-v3-11214,classification,test-pred-000124,1626989670000,1626989638309,31.691,mobservice2,login_failure,mobservice1,2
gaia-v3-11215,classification,test-pred-000125,1626989820000,1626989790743,29.257,mobservice2,login_failure,mobservice1,2
gaia-v3-11217,classification,test-pred-000126,1626989940000,1626989924051,15.949,mobservice2,login_failure,mobservice1,2
gaia-v3-11218,classification,test-pred-000127,1626990240000,1626990205626,34.374,mobservice2,login_failure,mobservice2,1
gaia-v3-11528,classification,test-pred-000128,1626990510000,1626990483970,26.03,mobservice1,login_failure,mobservice2,2
gaia-v3-11219,classification,test-pred-000130,1626990960000,1626990937736,22.264,mobservice2,login_failure,mobservice2,1
gaia-v3-11221,classification,test-pred-000131,1626991170000,1626991164548,5.452,mobservice2,login_failure,mobservice2,1
gaia-v3-11222,classification,test-pred-000132,1626991500000,1626991479722,20.278,mobservice2,login_failure,mobservice2,1
gaia-v3-11531,classification,test-pred-000133,1626991560000,1626991556322,3.678,mobservice1,login_failure,mobservice1,1
gaia-v3-11224,classification,test-pred-000136,1626992100000,1626992087727,12.273,mobservice2,login_failure,mobservice1,2
gaia-v3-11535,classification,test-pred-000137,1626992460000,1626992436206,23.794,mobservice1,login_failure,mobservice2,2
gaia-v3-11536,classification,test-pred-000138,1626992550000,1626992543365,6.635,mobservice1,login_failure,mobservice1,1
gaia-v3-11227,classification,test-pred-000139,1626992850000,1626992818564,31.436,mobservice2,login_failure,mobservice1,2
gaia-v3-11228,classification,test-pred-000141,1626993090000,1626993073957,16.043,mobservice2,login_failure,mobservice1,2
gaia-v3-11229,classification,test-pred-000144,1626993960000,1626993952421,7.579,mobservice2,login_failure,mobservice2,1
gaia-v3-11230,classification,test-pred-000145,1626994200000,1626994180532,19.468,mobservice2,login_failure,mobservice2,1
gaia-v3-11231,classification,test-pred-000146,1626994290000,1626994271564,18.436,mobservice2,login_failure,mobservice2,1
gaia-v3-11545,classification,test-pred-000149,1626994710000,1626994674017,35.983,mobservice1,login_failure,mobservice2,3
gaia-v3-11760,classification,test-pred-000150,1626994800000,1626994756512,43.488,logservice1,memory_anomalies,mobservice1,4
gaia-v3-11551,classification,test-pred-000152,1626995850000,1626995818035,31.965,mobservice1,login_failure,mobservice2,2
gaia-v3-11235,classification,test-pred-000153,1626995910000,1626995891102,18.898,mobservice2,login_failure,mobservice2,1
gaia-v3-11236,classification,test-pred-000154,1626996270000,1626996247442,22.558,mobservice2,login_failure,mobservice1,2
gaia-v3-11237,classification,test-pred-000155,1626996540000,1626996502662,37.338,mobservice2,login_failure,mobservice2,1
gaia-v3-11238,classification,test-pred-000159,1626997410000,1626997387173,22.827,mobservice2,login_failure,mobservice1,3
gaia-v3-11239,classification,test-pred-000160,1626997620000,1626997589172,30.828,mobservice2,login_failure,mobservice2,1
gaia-v3-11132,classification,test-pred-000162,1626998430000,1626998400237,29.763,dbservice1,access_permission_denied,mobservice1,2
gaia-v3-11258,classification,test-pred-000163,1627002120000,1627002094377,25.623,mobservice2,login_failure,dbservice1,3
gaia-v3-11565,classification,test-pred-000166,1627002390000,1627002357850,32.15,mobservice1,login_failure,mobservice2,2
gaia-v3-11259,classification,test-pred-000172,1627003260000,1627003224251,35.749,mobservice2,login_failure,mobservice1,2
gaia-v3-11260,classification,test-pred-000173,1627003350000,1627003325083,24.917,mobservice2,login_failure,mobservice2,1
gaia-v3-11137,classification,test-pred-000174,1627003470000,1627003435708,34.292,webservice2,memory_anomalies,mobservice2,3
gaia-v3-11576,classification,test-pred-000175,1627004100000,1627004075282,24.718,mobservice1,login_failure,mobservice1,1
gaia-v3-11266,classification,test-pred-000176,1627004400000,1627004391081,8.919,mobservice2,login_failure,mobservice2,1
gaia-v3-11267,classification,test-pred-000177,1627004520000,1627004505873,14.127,mobservice2,login_failure,mobservice1,2
gaia-v3-11268,classification,test-pred-000183,1627005480000,1627005452651,27.349,mobservice2,login_failure,mobservice1,2
gaia-v3-11269,classification,test-pred-000184,1627005840000,1627005829013,10.987,mobservice2,login_failure,mobservice2,1
gaia-v3-11270,classification,test-pred-000186,1627006440000,1627006406958,33.042,mobservice2,login_failure,mobservice2,1
gaia-v3-11272,classification,test-pred-000189,1627007160000,1627007126230,33.77,mobservice2,login_failure,mobservice2,1
gaia-v3-11273,classification,test-pred-000190,1627007250000,1627007216290,33.71,mobservice2,login_failure,mobservice2,1
gaia-v3-11274,classification,test-pred-000191,1627007400000,1627007361300,38.7,mobservice2,login_failure,mobservice2,1
gaia-v3-11275,classification,test-pred-000192,1627007490000,1627007467925,22.075,mobservice2,login_failure,mobservice1,2
gaia-v3-11276,classification,test-pred-000196,1627007880000,1627007863481,16.519,mobservice2,login_failure,mobservice2,1
gaia-v3-11278,classification,test-pred-000198,1627008000000,1627007998209,1.791,mobservice2,login_failure,mobservice2,1
gaia-v3-11279,classification,test-pred-000199,1627008150000,1627008121899,28.101,mobservice2,login_failure,mobservice2,1
gaia-v3-11284,classification,test-pred-000201,1627008960000,1627008959910,0.09,mobservice2,login_failure,mobservice2,1
gaia-v3-11286,classification,test-pred-000202,1627009200000,1627009179011,20.989,mobservice2,login_failure,mobservice2,1
gaia-v3-11598,classification,test-pred-000204,1627009800000,1627009799264,0.736,mobservice1,login_failure,mobservice1,1
gaia-v3-11289,classification,test-pred-000205,1627009980000,1627009973839,6.161,mobservice2,login_failure,mobservice2,1
gaia-v3-11602,classification,test-pred-000208,1627010550000,1627010516500,33.5,mobservice1,login_failure,mobservice2,3
gaia-v3-11290,classification,test-pred-000209,1627010700000,1627010668657,31.343,mobservice2,login_failure,mobservice2,1
gaia-v3-11604,classification,test-pred-000210,1627010880000,1627010861990,18.01,mobservice1,login_failure,mobservice1,1
gaia-v3-11605,classification,test-pred-000211,1627011120000,1627011083476,36.524,mobservice1,login_failure,dbservice2,2
gaia-v3-11291,classification,test-pred-000212,1627011180000,1627011155640,24.36,mobservice2,login_failure,mobservice2,1
gaia-v3-11293,classification,test-pred-000213,1627011360000,1627011339289,20.711,mobservice2,login_failure,mobservice2,1
gaia-v3-11295,classification,test-pred-000214,1627011570000,1627011538324,31.676,mobservice2,login_failure,mobservice1,4
gaia-v3-11608,classification,test-pred-000216,1627011840000,1627011803863,36.137,mobservice1,login_failure,mobservice2,2
gaia-v3-11299,classification,test-pred-000220,1627012410000,1627012379055,30.945,mobservice2,login_failure,mobservice1,2
gaia-v3-11300,classification,test-pred-000221,1627012530000,1627012509809,20.191,mobservice2,login_failure,mobservice1,2
gaia-v3-11301,classification,test-pred-000222,1627012680000,1627012648743,31.257,mobservice2,login_failure,mobservice2,1
gaia-v3-11302,classification,test-pred-000223,1627012800000,1627012765747,34.253,mobservice2,login_failure,mobservice2,1
gaia-v3-11305,classification,test-pred-000224,1627013040000,1627013003037,36.963,mobservice2,login_failure,mobservice1,2
gaia-v3-11307,classification,test-pred-000225,1627013160000,1627013155718,4.282,mobservice2,login_failure,mobservice2,1
gaia-v3-11610,classification,test-pred-000226,1627013430000,1627013407062,22.938,mobservice1,login_failure,mobservice1,1
gaia-v3-11611,classification,test-pred-000227,1627013520000,1627013500055,19.945,mobservice1,login_failure,mobservice2,3
gaia-v3-11612,classification,test-pred-000228,1627013790000,1627013761892,28.108,mobservice1,login_failure,mobservice2,2
gaia-v3-11613,classification,test-pred-000229,1627014300000,1627014286835,13.165,mobservice1,login_failure,mobservice1,1
gaia-v3-11308,classification,test-pred-000230,1627014690000,1627014659935,30.065,mobservice2,login_failure,mobservice2,1
gaia-v3-11309,classification,test-pred-000231,1627014780000,1627014760400,19.6,mobservice2,login_failure,mobservice1,2
gaia-v3-11615,classification,test-pred-000232,1627014870000,1627014847939,22.061,mobservice1,login_failure,mobservice2,2
gaia-v3-11310,classification,test-pred-000233,1627014930000,1627014913755,16.245,mobservice2,login_failure,mobservice2,1
gaia-v3-11616,classification,test-pred-000234,1627015080000,1627015073322,6.678,mobservice1,login_failure,mobservice1,1
gaia-v3-11314,classification,test-pred-000235,1627015830000,1627015793335,36.665,mobservice2,login_failure,mobservice2,1
gaia-v3-11316,classification,test-pred-000236,1627016100000,1627016087727,12.273,mobservice2,login_failure,mobservice1,3
gaia-v3-11317,classification,test-pred-000237,1627016370000,1627016330492,39.508,mobservice2,login_failure,mobservice1,2
gaia-v3-11318,classification,test-pred-000238,1627016580000,1627016547513,32.487,mobservice2,login_failure,mobservice2,1
gaia-v3-11319,classification,test-pred-000239,1627016730000,1627016715461,14.539,mobservice2,login_failure,mobservice2,1
gaia-v3-11320,classification,test-pred-000240,1627016880000,1627016861695,18.305,mobservice2,login_failure,mobservice2,1
gaia-v3-11321,classification,test-pred-000241,1627016940000,1627016913473,26.527,mobservice2,login_failure,mobservice1,2
gaia-v3-11620,classification,test-pred-000242,1627017030000,1627017002524,27.476,mobservice1,login_failure,mobservice1,1
gaia-v3-11622,classification,test-pred-000243,1627017120000,1627017111329,8.671,mobservice1,login_failure,mobservice1,1
gaia-v3-11323,classification,test-pred-000247,1627018560000,1627018538169,21.831,mobservice2,login_failure,mobservice2,1
gaia-v3-11324,classification,test-pred-000251,1627019310000,1627019292552,17.448,mobservice2,login_failure,mobservice1,3
gaia-v3-11325,classification,test-pred-000253,1627019610000,1627019569107,40.893,mobservice2,login_failure,mobservice2,1
gaia-v3-11326,classification,test-pred-000254,1627019670000,1627019641437,28.563,mobservice2,login_failure,webservice1,3
gaia-v3-11328,classification,test-pred-000256,1627020030000,1627020029469,0.531,mobservice2,login_failure,mobservice2,1
gaia-v3-11635,classification,test-pred-000258,1627020600000,1627020560299,39.701,mobservice1,login_failure,mobservice1,1
gaia-v3-11637,classification,test-pred-000260,1627020870000,1627020833148,36.852,mobservice1,login_failure,mobservice2,3
gaia-v3-11329,classification,test-pred-000261,1627021020000,1627020979946,40.054,mobservice2,login_failure,mobservice1,2
gaia-v3-11330,classification,test-pred-000263,1627021200000,1627021183240,16.76,mobservice2,login_failure,mobservice2,1
gaia-v3-11331,classification,test-pred-000268,1627021920000,1627021903885,16.115,mobservice2,login_failure,mobservice2,1
gaia-v3-11332,classification,test-pred-000269,1627022250000,1627022224886,25.114,mobservice2,login_failure,mobservice1,2
gaia-v3-11333,classification,test-pred-000271,1627022490000,1627022471523,18.477,mobservice2,login_failure,mobservice2,1
gaia-v3-11334,classification,test-pred-000272,1627022670000,1627022645368,24.632,mobservice2,login_failure,mobservice1,2
gaia-v3-11335,classification,test-pred-000274,1627022790000,1627022760076,29.924,mobservice2,login_failure,mobservice1,2
gaia-v3-11337,classification,test-pred-000277,1627023990000,1627023968542,21.458,mobservice2,login_failure,mobservice2,1
gaia-v3-11338,classification,test-pred-000279,1627024560000,1627024542428,17.572,mobservice2,login_failure,mobservice2,1
gaia-v3-11652,classification,test-pred-000280,1627024890000,1627024864316,25.684,mobservice1,login_failure,mobservice2,2
gaia-v3-11339,classification,test-pred-000281,1627025010000,1627024975503,34.497,mobservice2,login_failure,mobservice2,1
gaia-v3-11340,classification,test-pred-000282,1627025100000,1627025084942,15.058,mobservice2,login_failure,mobservice1,2
gaia-v3-11341,classification,test-pred-000285,1627025700000,1627025664349,35.651,mobservice2,login_failure,mobservice2,1
gaia-v3-11342,classification,test-pred-000286,1627025820000,1627025804640,15.36,mobservice2,login_failure,mobservice1,2
gaia-v3-11656,classification,test-pred-000288,1627026270000,1627026251657,18.343,mobservice1,login_failure,mobservice2,2
gaia-v3-11343,classification,test-pred-000289,1627026630000,1627026590278,39.722,mobservice2,login_failure,mobservice1,2
gaia-v3-11348,classification,test-pred-000294,1627027410000,1627027390445,19.555,mobservice2,login_failure,dbservice2,3
gaia-v3-11349,classification,test-pred-000295,1627027530000,1627027493820,36.18,mobservice2,login_failure,mobservice2,1
gaia-v3-11350,classification,test-pred-000296,1627027620000,1627027606566,13.434,mobservice2,login_failure,mobservice2,1
gaia-v3-11353,classification,test-pred-000297,1627027770000,1627027766972,3.028,mobservice2,login_failure,mobservice2,1
gaia-v3-11354,classification,test-pred-000298,1627027920000,1627027900147,19.853,mobservice2,login_failure,mobservice2,1
gaia-v3-11355,classification,test-pred-000299,1627027980000,1627027967289,12.711,mobservice2,login_failure,mobservice1,2
gaia-v3-11143,classification,test-pred-000301,1627028190000,1627028165630,24.37,webservice1,memory_anomalies,mobservice1,3
gaia-v3-11359,classification,test-pred-000303,1627029030000,1627029017264,12.736,mobservice2,login_failure,mobservice2,1
gaia-v3-11360,classification,test-pred-000304,1627029240000,1627029213601,26.399,mobservice2,login_failure,mobservice1,2
gaia-v3-11361,classification,test-pred-000305,1627029360000,1627029336321,23.679,mobservice2,login_failure,mobservice2,1
gaia-v3-11672,classification,test-pred-000307,1627030800000,1627030765780,34.22,mobservice1,login_failure,mobservice2,2
gaia-v3-11363,classification,test-pred-000308,1627031370000,1627031342955,27.045,mobservice2,login_failure,mobservice2,1
gaia-v3-11676,classification,test-pred-000312,1627031910000,1627031877524,32.476,mobservice1,login_failure,mobservice1,1
gaia-v3-11365,classification,test-pred-000315,1627032210000,1627032198356,11.644,mobservice2,login_failure,mobservice2,1
gaia-v3-11681,classification,test-pred-000317,1627033290000,1627033252894,37.106,mobservice1,login_failure,mobservice1,1
gaia-v3-11367,classification,test-pred-000319,1627033680000,1627033664504,15.496,mobservice2,login_failure,mobservice2,1
gaia-v3-11368,classification,test-pred-000320,1627033740000,1627033708688,31.312,mobservice2,login_failure,mobservice2,1
gaia-v3-11370,classification,test-pred-000321,1627034220000,1627034185462,34.538,mobservice2,login_failure,mobservice2,1
gaia-v3-11373,classification,test-pred-000322,1627034340000,1627034324799,15.201,mobservice2,login_failure,mobservice1,2
gaia-v3-11375,classification,test-pred-000327,1627035930000,1627035918916,11.084,mobservice2,login_failure,mobservice2,1
gaia-v3-11688,classification,test-pred-000329,1627037190000,1627037160264,29.736,mobservice1,login_failure,mobservice1,1
gaia-v3-11382,classification,test-pred-000330,1627037310000,1627037296996,13.004,mobservice2,login_failure,mobservice1,2
gaia-v3-11383,classification,test-pred-000332,1627037460000,1627037429850,30.15,mobservice2,login_failure,mobservice2,1
gaia-v3-11384,classification,test-pred-000334,1627037820000,1627037783799,36.201,mobservice2,login_failure,mobservice1,2
gaia-v3-11385,classification,test-pred-000335,1627037880000,1627037863115,16.885,mobservice2,login_failure,mobservice2,1
gaia-v3-11387,classification,test-pred-000336,1627038000000,1627037999060,0.94,mobservice2,login_failure,mobservice2,1
gaia-v3-11388,classification,test-pred-000337,1627038540000,1627038511426,28.574,mobservice2,login_failure,mobservice2,1
gaia-v3-11389,classification,test-pred-000338,1627038600000,1627038580541,19.459,mobservice2,login_failure,mobservice1,2
gaia-v3-11694,classification,test-pred-000340,1627038870000,1627038857755,12.245,mobservice1,login_failure,mobservice2,2
gaia-v3-11391,classification,test-pred-000341,1627039200000,1627039174910,25.09,mobservice2,login_failure,mobservice2,1
gaia-v3-11392,classification,test-pred-000345,1627039650000,1627039635169,14.831,mobservice2,login_failure,mobservice1,2
gaia-v3-11393,classification,test-pred-000346,1627039920000,1627039895871,24.129,mobservice2,login_failure,logservice2,2
gaia-v3-11395,classification,test-pred-000347,1627040580000,1627040569935,10.065,mobservice2,login_failure,mobservice2,1
gaia-v3-11396,classification,test-pred-000348,1627040700000,1627040673131,26.869,mobservice2,login_failure,mobservice2,1
gaia-v3-11397,classification,test-pred-000349,1627040790000,1627040775683,14.317,mobservice2,login_failure,mobservice2,1
gaia-v3-11399,classification,test-pred-000353,1627041450000,1627041413738,36.262,mobservice2,login_failure,mobservice1,2
gaia-v3-11403,classification,test-pred-000356,1627042380000,1627042345960,34.04,mobservice2,login_failure,mobservice2,1
gaia-v3-11711,classification,test-pred-000358,1627042800000,1627042782271,17.729,mobservice1,login_failure,redisservice2,2
gaia-v3-11408,classification,test-pred-000361,1627044000000,1627043982213,17.787,mobservice2,login_failure,mobservice1,2
gaia-v3-11409,classification,test-pred-000362,1627044240000,1627044200962,39.038,mobservice2,login_failure,mobservice1,2
gaia-v3-11410,classification,test-pred-000363,1627044450000,1627044420128,29.872,mobservice2,login_failure,mobservice1,2
gaia-v3-11411,classification,test-pred-000366,1627044990000,1627044961818,28.182,mobservice2,login_failure,mobservice1,2
gaia-v3-11413,classification,test-pred-000368,1627045200000,1627045186840,13.16,mobservice2,login_failure,mobservice2,1
gaia-v3-11414,classification,test-pred-000369,1627045410000,1627045387692,22.308,mobservice2,login_failure,mobservice1,2
gaia-v3-11416,classification,test-pred-000372,1627045860000,1627045841918,18.082,mobservice2,login_failure,logservice1,2
gaia-v3-11418,classification,test-pred-000374,1627046130000,1627046098559,31.441,mobservice2,login_failure,mobservice1,2
gaia-v3-11419,classification,test-pred-000375,1627046340000,1627046324987,15.013,mobservice2,login_failure,mobservice2,1
gaia-v3-11420,classification,test-pred-000376,1627046790000,1627046758974,31.026,mobservice2,login_failure,mobservice2,1
gaia-v3-11725,classification,test-pred-000379,1627047690000,1627047662549,27.451,mobservice1,login_failure,mobservice2,2
gaia-v3-11728,classification,test-pred-000381,1627047990000,1627047953149,36.851,mobservice1,login_failure,mobservice1,1
gaia-v3-11423,classification,test-pred-000382,1627048080000,1627048076530,3.47,mobservice2,login_failure,mobservice2,1
gaia-v3-11424,classification,test-pred-000383,1627048350000,1627048336217,13.783,mobservice2,login_failure,mobservice2,1
gaia-v3-11425,classification,test-pred-000385,1627048680000,1627048649435,30.565,mobservice2,login_failure,mobservice2,1
gaia-v3-11426,classification,test-pred-000386,1627048770000,1627048752161,17.839,mobservice2,login_failure,mobservice2,1
gaia-v3-11428,classification,test-pred-000387,1627048890000,1627048889682,0.318,mobservice2,login_failure,mobservice2,1
gaia-v3-11429,classification,test-pred-000389,1627049370000,1627049352847,17.153,mobservice2,login_failure,mobservice2,1
gaia-v3-11430,classification,test-pred-000390,1627049730000,1627049702941,27.059,mobservice2,login_failure,webservice1,3
gaia-v3-11735,classification,test-pred-000392,1627051080000,1627051066373,13.627,mobservice1,login_failure,mobservice2,3
gaia-v3-11436,classification,test-pred-000394,1627051470000,1627051452789,17.211,mobservice2,login_failure,mobservice2,1
gaia-v3-11437,classification,test-pred-000395,1627051560000,1627051522403,37.597,mobservice2,login_failure,mobservice1,3
gaia-v3-11438,classification,test-pred-000397,1627052340000,1627052299891,40.109,mobservice2,login_failure,mobservice1,2
gaia-v3-11439,classification,test-pred-000398,1627052610000,1627052581163,28.837,mobservice2,login_failure,mobservice1,2
gaia-v3-11440,classification,test-pred-000400,1627052790000,1627052770896,19.104,mobservice2,login_failure,mobservice2,1
gaia-v3-11441,classification,test-pred-000402,1627053300000,1627053271009,28.991,mobservice2,login_failure,mobservice2,1
gaia-v3-11442,classification,test-pred-000403,1627054050000,1627054027678,22.322,mobservice2,login_failure,mobservice2,1
gaia-v3-11443,classification,test-pred-000404,1627054200000,1627054184238,15.762,mobservice2,login_failure,mobservice2,1
gaia-v3-11444,classification,test-pred-000405,1627054380000,1627054354639,25.361,mobservice2,login_failure,mobservice2,1
gaia-v3-11445,classification,test-pred-000406,1627054530000,1627054494141,35.859,mobservice2,login_failure,mobservice1,2
gaia-v3-11446,classification,test-pred-000407,1627054770000,1627054755014,14.986,mobservice2,login_failure,mobservice2,1
gaia-v3-11742,classification,test-pred-000408,1627055070000,1627055057070,12.93,mobservice1,login_failure,dbservice2,4
gaia-v3-11447,classification,test-pred-000409,1627055370000,1627055344638,25.362,mobservice2,login_failure,mobservice2,1
gaia-v3-11448,classification,test-pred-000410,1627055430000,1627055413820,16.18,mobservice2,login_failure,mobservice1,2
