case_id,source_index,service,fault_type,level,start_ms,end_ms,duration_seconds,current_main_interval_valid,audit_cpu_repair_applied
gaia-cc38031065075f6d,39,mobservice1,login failure,WARNING,1625130258426,1625130269426,11.0,True,False
gaia-b207eebe1509db54,40,mobservice1,login failure,WARNING,1625130749846,1625130760846,11.0,True,False
gaia-8d7ddd8a5aebe6e1,41,mobservice1,login failure,WARNING,1625131037046,1625131048046,11.0,True,False
gaia-464a74955625d9f7,42,mobservice1,login failure,WARNING,1625131499382,1625131510382,11.0,True,False
gaia-065b46cbf7a0746a,43,mobservice1,login failure,WARNING,1625131615398,1625131626398,11.0,True,False
gaia-c17c41734270e7f5,44,mobservice1,login failure,WARNING,1625131970841,1625131981841,11.0,True,False
gaia-87c330b3dacfe8fe,45,mobservice1,login failure,WARNING,1625132045246,1625132056246,11.0,True,False
gaia-a12826ad6aa1464c,46,mobservice1,login failure,WARNING,1625132478437,1625132489437,11.0,True,False
gaia-2a7a341f5df7fe51,47,mobservice1,login failure,WARNING,1625132761342,1625132772342,11.0,True,False
gaia-5d660fc91bb5c1a1,48,mobservice1,login failure,WARNING,1625132943566,1625132954566,11.0,True,False
gaia-11ac996ec5359261,49,mobservice1,login failure,WARNING,1625133324889,1625133335889,11.0,True,False
gaia-bcd5d51a20f9c5dc,50,mobservice1,login failure,WARNING,1625133846510,1625133857510,11.0,True,False
gaia-5174a270754ab2f7,51,mobservice1,login failure,WARNING,1625133878355,1625133889355,11.0,True,False
gaia-bf4988ddbb8fd13d,52,mobservice1,login failure,WARNING,1625133957074,1625133968074,11.0,True,False
gaia-b9f2d5c63f8b5c62,53,mobservice1,login failure,WARNING,1625133983922,1625133994922,11.0,True,False
gaia-750e38219349e195,54,mobservice1,login failure,WARNING,1625134101145,1625134112145,11.0,True,False
gaia-9d4c83ad79334b91,55,mobservice1,login failure,WARNING,1625134313366,1625134324366,11.0,True,False
gaia-32f7b724dc7953f7,56,mobservice1,login failure,WARNING,1625134424819,1625134435819,11.0,True,False
gaia-82336596a215ebc3,57,mobservice1,login failure,WARNING,1625135859203,1625135870203,11.0,True,False
gaia-edc2193d49a9a99d,58,mobservice1,login failure,WARNING,1625135893006,1625135904006,11.0,True,False
gaia-10c5daf32e5357ac,59,mobservice1,login failure,WARNING,1625136392597,1625136403597,11.0,True,False
gaia-d4e67e439cd46850,60,mobservice1,login failure,WARNING,1625136458538,1625136469538,11.0,True,False
gaia-8a807f801aa7c583,61,mobservice1,login failure,WARNING,1625137106889,1625137117889,11.0,True,False
gaia-6b6cefb1ccf87dc4,62,mobservice1,login failure,WARNING,1625137441342,1625137452342,11.0,True,False
gaia-d5f19a731e25a0e7,63,mobservice1,login failure,WARNING,1625137561434,1625137572434,11.0,True,False
gaia-81b000126044ec39,64,mobservice1,login failure,WARNING,1625137597159,1625137608159,11.0,True,False
gaia-8a418b5a330bb421,65,mobservice1,login failure,WARNING,1625138368898,1625138379898,11.0,True,False
gaia-01a8ba81702382f9,66,mobservice1,login failure,WARNING,1625138433154,1625138444154,11.0,True,False
gaia-855a1ef2172a2ee7,67,mobservice1,login failure,WARNING,1625138629797,1625138640797,11.0,True,False
gaia-9b78560b3b94869d,68,mobservice1,login failure,WARNING,1625138904509,1625138915509,11.0,True,False
gaia-f29912ac6c073cd4,69,mobservice1,login failure,WARNING,1625139363718,1625139374718,11.0,True,False
gaia-0b05000bab89e38a,70,mobservice1,login failure,WARNING,1625140466845,1625140477845,11.0,True,False
gaia-ca6bfab0a959c80f,71,mobservice1,login failure,WARNING,1625140677562,1625140688562,11.0,True,False
gaia-027c623cebada9ad,72,mobservice1,login failure,WARNING,1625141275640,1625141286640,11.0,True,False
gaia-f934febf4c282949,73,mobservice1,login failure,WARNING,1625142697996,1625142708996,11.0,True,False
gaia-da65b8f0d577ce18,74,mobservice1,login failure,WARNING,1625143113615,1625143124615,11.0,True,False
gaia-72df2059b6275d55,75,mobservice1,login failure,WARNING,1625143709652,1625143720652,11.0,True,False
gaia-faf7d46baa9a3838,76,mobservice1,login failure,WARNING,1625144515027,1625144526027,11.0,True,False
gaia-5e57fcef3483218a,77,mobservice1,login failure,WARNING,1625144650863,1625144661863,11.0,True,False
gaia-389d63e3fb8edf0e,78,mobservice1,login failure,WARNING,1625144677900,1625144688900,11.0,True,False
gaia-03f633761eadc23e,79,mobservice1,login failure,WARNING,1625144838548,1625144849548,11.0,True,False
gaia-8579aa0ea14eb326,80,mobservice1,login failure,WARNING,1625144898588,1625144909588,11.0,True,False
gaia-83183b5ffe54f04a,81,mobservice1,login failure,WARNING,1625144997204,1625145008204,11.0,True,False
gaia-250d9873893a33f8,82,mobservice1,login failure,WARNING,1625145039160,1625145050160,11.0,True,False
gaia-d88a0781335d0859,83,mobservice1,login failure,WARNING,1625145098757,1625145109757,11.0,True,False
gaia-e9679e6464da7223,84,mobservice1,login failure,WARNING,1625145961702,1625145972702,11.0,True,False
gaia-f498cf20d5e65f2d,85,mobservice1,login failure,WARNING,1625146580815,1625146591815,11.0,True,False
gaia-1c01596abdde6dfb,86,mobservice1,login failure,WARNING,1625147379810,1625147390810,11.0,True,False
gaia-9ad7eadf1a5707b6,87,mobservice1,login failure,WARNING,1625148163155,1625148174155,11.0,True,False
gaia-61c24acada4717d6,88,mobservice1,login failure,WARNING,1625148395552,1625148406552,11.0,True,False
gaia-1b72f8518dfc4b5e,89,mobservice1,login failure,WARNING,1625148399091,1625148410091,11.0,True,False
gaia-839601f24e1320db,90,mobservice1,login failure,WARNING,1625148523177,1625148534177,11.0,True,False
gaia-9f045b22e03f65ec,91,mobservice1,login failure,WARNING,1625148671049,1625148682049,11.0,True,False
gaia-1945b96f24ff2b98,92,mobservice1,login failure,WARNING,1625148714304,1625148725304,11.0,True,False
gaia-5ed9666d28d48f11,93,mobservice1,login failure,WARNING,1625148932768,1625148943768,11.0,True,False
gaia-4b6767329f2a55a6,94,mobservice1,login failure,WARNING,1625150093350,1625150104350,11.0,True,False
gaia-94f565cf6a327715,95,mobservice1,login failure,WARNING,1625150110485,1625150121485,11.0,True,False
gaia-8c24a1ae5f78030e,96,mobservice1,login failure,WARNING,1625150128497,1625150139497,11.0,True,False
gaia-53eba08150a001c5,97,mobservice1,login failure,WARNING,1625150436883,1625150447883,11.0,True,False
gaia-cf00cb40c1f6659a,98,mobservice1,login failure,WARNING,1625150454004,1625150465004,11.0,True,False
gaia-b21c459d2824f6a3,99,mobservice1,login failure,WARNING,1625150750828,1625150761828,11.0,True,False
gaia-a2adbf72009e2665,100,mobservice1,login failure,WARNING,1625151537840,1625151548840,11.0,True,False
gaia-df3fe6a7562c68a6,101,mobservice1,login failure,WARNING,1625151595307,1625151606307,11.0,True,False
gaia-22d75895fc9f91db,102,mobservice1,login failure,WARNING,1625151944497,1625151955497,11.0,True,False
gaia-bc3e1c8fe1ddca35,103,mobservice1,login failure,WARNING,1625152289449,1625152300449,11.0,True,False
gaia-b46e7f7968f652f8,104,mobservice1,login failure,WARNING,1625152547222,1625152558222,11.0,True,False
gaia-2647cbab6a94c35e,105,mobservice1,login failure,WARNING,1625152677359,1625152688359,11.0,True,False
gaia-38aa77b9e840c88f,106,mobservice1,login failure,WARNING,1625152748271,1625152759271,11.0,True,False
gaia-e49dbca0d82c13d2,107,mobservice1,login failure,WARNING,1625152961542,1625152972542,11.0,True,False
gaia-ee2b6313117f039b,108,mobservice1,login failure,WARNING,1625153338140,1625153349140,11.0,True,False
gaia-10dd68ef56712c0b,109,mobservice1,login failure,WARNING,1625153510692,1625153521692,11.0,True,False
gaia-cf15e6a2e8f6b15c,110,mobservice1,login failure,WARNING,1625153898194,1625153909194,11.0,True,False
gaia-cde2bd7063b6e636,111,mobservice1,login failure,WARNING,1625154275255,1625154286255,11.0,True,False
gaia-fd0e13dabc046df9,112,mobservice1,login failure,WARNING,1625154526012,1625154537012,11.0,True,False
gaia-04d82c220c928769,113,mobservice2,login failure,WARNING,1625123305556,1625123316556,11.0,True,False
gaia-ea012807519c9390,114,mobservice2,login failure,WARNING,1625123771833,1625123782833,11.0,True,False
gaia-13079ee5291a61bb,115,mobservice2,login failure,WARNING,1625124065900,1625124076900,11.0,True,False
gaia-3dc2618174ef4b26,116,mobservice2,login failure,WARNING,1625124096455,1625124107455,11.0,True,False
gaia-84f61fd83f5b1d11,117,mobservice2,login failure,WARNING,1625124241962,1625124252962,11.0,True,False
gaia-3200d2793117273e,118,mobservice2,login failure,WARNING,1625124358528,1625124369528,11.0,True,False
gaia-0f4489abf90c81df,119,mobservice2,login failure,WARNING,1625124602148,1625124613148,11.0,True,False
gaia-7c8cec64e53738d7,120,mobservice2,login failure,WARNING,1625124662232,1625124673232,11.0,True,False
gaia-72f6159c1be6c249,121,mobservice2,login failure,WARNING,1625124988652,1625124999652,11.0,True,False
gaia-66c8294899336d26,122,mobservice2,login failure,WARNING,1625125277307,1625125288307,11.0,True,False
gaia-f00880209b05cef7,123,mobservice2,login failure,WARNING,1625126487583,1625126498583,11.0,True,False
gaia-3e21e77626b1f341,124,mobservice2,login failure,WARNING,1625126531375,1625126542375,11.0,True,False
gaia-1157385b94467398,125,mobservice2,login failure,WARNING,1625127664287,1625127675287,11.0,True,False
gaia-e9d86434cbb76d13,126,mobservice2,login failure,WARNING,1625128427422,1625128438422,11.0,True,False
gaia-ffc4d0e8707f04c2,127,mobservice2,login failure,WARNING,1625128629671,1625128640671,11.0,True,False
gaia-782294ed2d73849c,128,mobservice2,memory_anomalies,WARNING,1625128516396,1625129116396,600.0,True,False
gaia-57f407deb98cebc7,129,mobservice2,login failure,WARNING,1625129246850,1625129257850,11.0,True,False
gaia-17c4fdd1e5cf8a66,130,mobservice2,login failure,WARNING,1625129344461,1625129355461,11.0,True,False
gaia-4bc41bad5df4a5f6,131,mobservice2,login failure,WARNING,1625129551621,1625129562621,11.0,True,False
gaia-c4f34434a390c4b1,132,mobservice2,login failure,WARNING,1625129606542,1625129617542,11.0,True,False
gaia-f85a68b794b9fda9,133,mobservice2,login failure,WARNING,1625129698553,1625129709553,11.0,True,False
gaia-ec796e4c63f28015,134,mobservice2,login failure,WARNING,1625129936376,1625129947376,11.0,True,False
gaia-e2b0cec274fde3dd,135,mobservice2,login failure,WARNING,1625129982230,1625129993230,11.0,True,False
gaia-768f80e2555d6378,136,mobservice2,login failure,WARNING,1625129987658,1625129998658,11.0,True,False
gaia-e569f50042969761,137,mobservice2,login failure,WARNING,1625130210916,1625130221916,11.0,True,False
gaia-0fa9bf190f2c2755,138,mobservice2,login failure,WARNING,1625130706227,1625130717227,11.0,True,False
gaia-2b7f7b06b3744d6a,139,mobservice2,login failure,WARNING,1625130736839,1625130747839,11.0,True,False
gaia-821cabe05e4db7e9,140,mobservice2,login failure,WARNING,1625130843068,1625130854068,11.0,True,False
gaia-83c1ac5649639f28,141,mobservice2,login failure,WARNING,1625130944752,1625130955752,11.0,True,False
gaia-6fec768fa61d30fa,142,mobservice2,login failure,WARNING,1625131303056,1625131314056,11.0,True,False
gaia-2dfca1d060c9dd92,143,mobservice2,login failure,WARNING,1625131341409,1625131352409,11.0,True,False
gaia-d6be7df17909b8b7,144,mobservice2,login failure,WARNING,1625131599606,1625131610606,11.0,True,False
gaia-10cdeea0ea6209fe,145,mobservice2,login failure,WARNING,1625131679210,1625131690210,11.0,True,False
gaia-c37535b0d46c5869,146,mobservice2,login failure,WARNING,1625131914777,1625131925777,11.0,True,False
gaia-8e2b4b1a77df977c,147,mobservice2,login failure,WARNING,1625132449580,1625132460580,11.0,True,False
gaia-7aacd894e330c0d0,148,mobservice2,login failure,WARNING,1625132602031,1625132613031,11.0,True,False
gaia-e7183d5e9e0931a2,149,mobservice2,login failure,WARNING,1625132787146,1625132798146,11.0,True,False
gaia-0be8d7feef85ee0e,150,mobservice2,login failure,WARNING,1625132880757,1625132891757,11.0,True,False
gaia-f9d88e8618cbe16c,151,mobservice2,login failure,WARNING,1625133087003,1625133098003,11.0,True,False
gaia-d90683f444267695,152,mobservice2,login failure,WARNING,1625133550066,1625133561066,11.0,True,False
gaia-ec60b0471d79a965,153,mobservice2,login failure,WARNING,1625133775938,1625133786938,11.0,True,False
gaia-13469e0a6a573095,154,mobservice2,login failure,WARNING,1625134129229,1625134140229,11.0,True,False
gaia-9a41dfcc21ed6fa6,155,mobservice2,login failure,WARNING,1625134407668,1625134418668,11.0,True,False
gaia-98e1f9cfdb146c12,156,mobservice2,login failure,WARNING,1625134479130,1625134490130,11.0,True,False
gaia-9b394852e9ab7942,157,mobservice2,login failure,WARNING,1625134644031,1625134655031,11.0,True,False
gaia-d7c0fc9fb2f97a61,158,mobservice2,login failure,WARNING,1625134753952,1625134764952,11.0,True,False
gaia-1632c04731294049,159,mobservice2,login failure,WARNING,1625134967481,1625134978481,11.0,True,False
gaia-c19f4a7393547eed,160,mobservice2,login failure,WARNING,1625135002263,1625135013263,11.0,True,False
gaia-8d9c581725fcb189,161,mobservice2,login failure,WARNING,1625135057567,1625135068567,11.0,True,False
gaia-a9091da1722b8a26,162,mobservice2,login failure,WARNING,1625135152652,1625135163652,11.0,True,False
gaia-3f614c36870c46cc,163,mobservice2,login failure,WARNING,1625136188849,1625136199849,11.0,True,False
gaia-17766250ce4f3965,164,mobservice2,login failure,WARNING,1625136218915,1625136229915,11.0,True,False
gaia-294765fd48660566,165,mobservice2,login failure,WARNING,1625136655921,1625136666921,11.0,True,False
gaia-069a807522d591f5,166,mobservice2,login failure,WARNING,1625136881944,1625136892944,11.0,True,False
gaia-ce7d639ad465d4bc,167,mobservice2,login failure,WARNING,1625137590762,1625137601762,11.0,True,False
gaia-b0a95031092abf2d,168,mobservice2,login failure,WARNING,1625137642181,1625137653181,11.0,True,False
gaia-526e7a9f963e96f8,169,mobservice2,login failure,WARNING,1625138324733,1625138335733,11.0,True,False
gaia-bc0c185957245789,170,mobservice2,login failure,WARNING,1625138590525,1625138601525,11.0,True,False
gaia-ff0b1652d9d346f3,171,mobservice2,login failure,WARNING,1625139102716,1625139113716,11.0,True,False
gaia-b40edc0747adb771,172,mobservice2,login failure,WARNING,1625139142020,1625139153020,11.0,True,False
gaia-241bebc8118ff5ed,173,mobservice2,memory_anomalies,WARNING,1625139197899,1625139797899,600.0,True,False
gaia-7527e07161e6b0ef,174,mobservice2,login failure,WARNING,1625139947233,1625139958233,11.0,True,False
gaia-d5840a6bfcda1fa2,175,mobservice2,login failure,WARNING,1625139974163,1625139985163,11.0,True,False
gaia-78ca1a9528eb6700,176,mobservice2,login failure,WARNING,1625140148186,1625140159186,11.0,True,False
gaia-1a140d76f67f5648,177,mobservice2,login failure,WARNING,1625140645892,1625140656892,11.0,True,False
gaia-6d9de518774722b7,178,mobservice2,login failure,WARNING,1625140779894,1625140790894,11.0,True,False
gaia-4f9c7d4bda09e0d3,179,mobservice2,login failure,WARNING,1625141421197,1625141432197,11.0,True,False
gaia-468cc3c8616fc90c,180,mobservice2,login failure,WARNING,1625141878578,1625141889578,11.0,True,False
gaia-4811dddf9eb6f200,181,mobservice2,login failure,WARNING,1625142371588,1625142382588,11.0,True,False
gaia-3541492edf68ff91,182,mobservice2,login failure,WARNING,1625144306887,1625144317887,11.0,True,False
gaia-7ea22c42752a5e1e,183,mobservice2,login failure,WARNING,1625144576417,1625144587417,11.0,True,False
gaia-54d874527ff39a81,184,mobservice2,login failure,WARNING,1625145311643,1625145322643,11.0,True,False
gaia-e531eeffe1cb579c,185,mobservice2,login failure,WARNING,1625145351802,1625145362802,11.0,True,False
gaia-b7d2f36341af0135,186,mobservice2,login failure,WARNING,1625145451214,1625145462214,11.0,True,False
gaia-fe0b839a66f1dc78,187,mobservice2,login failure,WARNING,1625146228909,1625146239909,11.0,True,False
gaia-57186767b7cb544e,188,mobservice2,login failure,WARNING,1625146308103,1625146319103,11.0,True,False
gaia-33f363325cf060a7,189,mobservice2,login failure,WARNING,1625146472371,1625146483371,11.0,True,False
gaia-2dd1b9e0444cad55,190,mobservice2,login failure,WARNING,1625146909426,1625146920426,11.0,True,False
gaia-9379b3775b25be7c,191,mobservice2,login failure,WARNING,1625147143024,1625147154024,11.0,True,False
gaia-bc5d02500eb5cdc2,192,mobservice2,login failure,WARNING,1625147270983,1625147281983,11.0,True,False
gaia-e331f2827908ee6e,193,mobservice2,login failure,WARNING,1625148267438,1625148278438,11.0,True,False
gaia-d47b562feafb6c10,194,mobservice2,login failure,WARNING,1625148444004,1625148455004,11.0,True,False
gaia-ebf77ef65343ca29,195,mobservice2,login failure,WARNING,1625149009184,1625149020184,11.0,True,False
gaia-aafe45942118336e,196,mobservice2,login failure,WARNING,1625149087830,1625149098830,11.0,True,False
gaia-b0e49ef689010a53,197,mobservice2,login failure,WARNING,1625149112604,1625149123604,11.0,True,False
gaia-0a7148ae9ea390f2,198,mobservice2,login failure,WARNING,1625149148341,1625149159341,11.0,True,False
gaia-3f26a20b3111f919,199,mobservice2,login failure,WARNING,1625149205939,1625149216939,11.0,True,False
gaia-54bde5c6e2459d65,200,mobservice2,login failure,WARNING,1625149470992,1625149481992,11.0,True,False
gaia-d761d16665a6f049,201,mobservice2,login failure,WARNING,1625149660345,1625149671345,11.0,True,False
gaia-1b17ab958d37c3c8,202,mobservice2,login failure,WARNING,1625149832972,1625149843972,11.0,True,False
gaia-90f4ef96aac2f9ba,203,mobservice2,login failure,WARNING,1625149975568,1625149986568,11.0,True,False
gaia-626621387960847f,204,mobservice2,login failure,WARNING,1625149990299,1625150001299,11.0,True,False
gaia-39b759ab998f6865,205,mobservice2,login failure,WARNING,1625150058593,1625150069593,11.0,True,False
gaia-42ba406fbb9a91f6,206,mobservice2,login failure,WARNING,1625150376996,1625150387996,11.0,True,False
gaia-267053706ebfef91,207,mobservice2,login failure,WARNING,1625150642706,1625150653706,11.0,True,False
gaia-1632ed134c14f1b8,208,mobservice2,login failure,WARNING,1625150712522,1625150723522,11.0,True,False
gaia-abefbd7cabee61a0,209,mobservice2,login failure,WARNING,1625150739840,1625150750840,11.0,True,False
gaia-87923ab4bc116186,210,mobservice2,login failure,WARNING,1625150986978,1625150997978,11.0,True,False
gaia-31ecc04a17375857,211,mobservice2,login failure,WARNING,1625151167471,1625151178471,11.0,True,False
gaia-b9272426c9c9209a,212,mobservice2,login failure,WARNING,1625151185192,1625151196192,11.0,True,False
gaia-18524e277aaf626f,213,mobservice2,login failure,WARNING,1625151609870,1625151620870,11.0,True,False
gaia-ed46985c3c47ac01,214,mobservice2,login failure,WARNING,1625151674891,1625151685891,11.0,True,False
gaia-72db3e48def02bca,215,mobservice2,login failure,WARNING,1625151986527,1625151997527,11.0,True,False
gaia-af1ca09c7aeed08a,216,mobservice2,login failure,WARNING,1625152256972,1625152267972,11.0,True,False
gaia-be24c8cad96228d6,217,mobservice2,login failure,WARNING,1625152379256,1625152390256,11.0,True,False
gaia-f62fc83b716f8b0d,218,mobservice2,login failure,WARNING,1625152390645,1625152401645,11.0,True,False
gaia-9b4cc6a70af667b2,219,mobservice2,login failure,WARNING,1625152498704,1625152509704,11.0,True,False
gaia-af4760bd1351d710,220,mobservice2,login failure,WARNING,1625152776849,1625152787849,11.0,True,False
gaia-4d78168d12f84707,221,mobservice2,login failure,WARNING,1625152791630,1625152802630,11.0,True,False
gaia-498cb5b795c867b4,222,mobservice2,login failure,WARNING,1625153016366,1625153027366,11.0,True,False
gaia-931d70e04976551e,223,mobservice2,login failure,WARNING,1625154028271,1625154039271,11.0,True,False
gaia-d6bb61a568f922a5,224,mobservice2,login failure,WARNING,1625154106930,1625154117930,11.0,True,False
gaia-c50f81ec9fa3a2fe,225,mobservice2,login failure,WARNING,1625154112111,1625154123111,11.0,True,False
gaia-d65cd4522eb4dbbd,226,mobservice2,login failure,WARNING,1625154298511,1625154309511,11.0,True,False
gaia-484f74f0db90fcb0,227,mobservice2,login failure,WARNING,1625154366668,1625154377668,11.0,True,False
gaia-eb97a62c7dddd6e3,228,mobservice2,login failure,WARNING,1625154666329,1625154677329,11.0,True,False
gaia-db36bab1f4aa8097,229,mobservice2,login failure,WARNING,1625155162573,1625155173573,11.0,True,False
gaia-0a5936327ac86a05,230,logservice2,memory_anomalies,WARNING,1625142919880,1625143519880,600.0,True,False
gaia-1d34f2d500301866,231,dbservice1,memory_anomalies,WARNING,1625159489298,1625160089298,600.0,True,False
gaia-246a36650bcb3875,235,dbservice1,memory_anomalies,WARNING,1625202202764,1625202802764,600.0,True,False
gaia-67303b8db2d4fdc2,236,dbservice1,memory_anomalies,WARNING,1625214040866,1625214640866,600.0,True,False
gaia-f4da1dc5e0b0337b,240,webservice2,memory_anomalies,WARNING,1625182911591,1625183511591,600.0,True,False
gaia-bf6a1cd7572af5d0,241,dbservice2,memory_anomalies,WARNING,1625163601508,1625164201508,600.0,True,False
gaia-9748a60621c63e9d,245,dbservice2,memory_anomalies,WARNING,1625228147828,1625228747828,600.0,True,False
gaia-80f7dae009af9a72,247,dbservice2,memory_anomalies,WARNING,1625240552980,1625241152980,600.0,True,False
gaia-ef462b356a8aa10a,251,webservice1,memory_anomalies,WARNING,1625192671614,1625193271614,600.0,True,False
gaia-4593ed28ba1fdf5e,252,webservice1,file moving program,WARNING,1625227200510,1625227800510,600.0,True,False
gaia-2b8c9298a82a6620,253,mobservice2,login failure,WARNING,1625156249668,1625156260668,11.0,True,False
gaia-254c00a2b24422c1,254,mobservice2,login failure,WARNING,1625156406203,1625156417203,11.0,True,False
gaia-02391c8cafe05741,255,mobservice2,login failure,WARNING,1625156555683,1625156566683,11.0,True,False
gaia-148838b01e70da3a,256,mobservice2,login failure,WARNING,1625157145836,1625157156836,11.0,True,False
gaia-219580fb26817f49,257,mobservice2,login failure,WARNING,1625157207406,1625157218406,11.0,True,False
gaia-fe569e5a69d6f389,258,mobservice2,login failure,WARNING,1625157549895,1625157560895,11.0,True,False
gaia-3b41b9b0993027df,259,mobservice2,login failure,WARNING,1625157648012,1625157659012,11.0,True,False
gaia-8724d4bf92ddae7b,260,mobservice2,login failure,WARNING,1625157831281,1625157842281,11.0,True,False
gaia-5b3e95ba17a5f7cd,261,mobservice2,login failure,WARNING,1625158055644,1625158066644,11.0,True,False
gaia-5c37b9a25199e444,262,mobservice2,login failure,WARNING,1625159222706,1625159233706,11.0,True,False
gaia-5d628e8f9457c4fc,263,mobservice2,login failure,WARNING,1625159384039,1625159395039,11.0,True,False
gaia-ba673cc4eba6b830,264,mobservice2,login failure,WARNING,1625159805436,1625159816436,11.0,True,False
gaia-55792c4d0176f6f7,265,mobservice2,login failure,WARNING,1625160354732,1625160365732,11.0,True,False
gaia-1f27e7881a51726a,266,mobservice2,login failure,WARNING,1625161407707,1625161418707,11.0,True,False
gaia-6fd5cde323d24232,267,mobservice2,login failure,WARNING,1625161594972,1625161605972,11.0,True,False
gaia-d7c5afa3d79f20d4,268,mobservice2,login failure,WARNING,1625161733312,1625161744312,11.0,True,False
gaia-02c7232cce7ebc25,269,mobservice2,login failure,WARNING,1625162441859,1625162452859,11.0,True,False
gaia-9af8fb471c5b081d,270,mobservice2,login failure,WARNING,1625162808073,1625162819073,11.0,True,False
gaia-80ddf368c5cd4656,271,mobservice2,login failure,WARNING,1625163624580,1625163635580,11.0,True,False
gaia-280ce3a47da624e2,272,mobservice2,login failure,WARNING,1625163732647,1625163743647,11.0,True,False
gaia-631b9d55fbdd2796,273,mobservice2,login failure,WARNING,1625163911217,1625163922217,11.0,True,False
gaia-333b5f69698032ca,274,mobservice2,login failure,WARNING,1625164042452,1625164053452,11.0,True,False
